qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		139723	21315	161038
ins_a_001	B	0	0	0
ins_a_002	A	0	0	0
ins_a_003	A	0	0	0
ins_a_004	A	0	0	0
ins_a_005	ABCD	0	0	0
ins_a_006	A	0	0	0
ins_a_007	BC	0	0	0
ins_a_008	ABC	0	0	0
ins_a_009	C	0	0	0
ins_a_010	AB	0	0	0
ins_a_011	BC	0	0	0
ins_a_012	A	0	0	0
ins_a_013	A	0	0	0
ins_a_014	ABD	0	0	0
ins_a_015	AB	0	0	0
ins_a_016	D	0	0	0
ins_a_017	ABCD	0	0	0
ins_a_018	BCD	0	0	0
ins_a_019	ABCD	0	0	0
ins_a_020	D	0	0	0
fc_a_001	ABD	0	0	0
fc_a_002	CD	0	0	0
fc_a_003	A	0	0	0
fc_a_004	ABC	0	0	0
fc_a_005	AC	0	0	0
fc_a_006	A	0	0	0
fc_a_007	ABD	0	0	0
fc_a_008	B	0	0	0
fc_a_009	ABD	0	0	0
fc_a_010	A	0	0	0
fc_a_011	AB	0	0	0
fc_a_012	AC	0	0	0
fc_a_013	B	0	0	0
fc_a_014	B	0	0	0
fc_a_015	A	0	0	0
fc_a_016	BC	0	0	0
fc_a_017	ABD	0	0	0
fc_a_018	B	0	0	0
fc_a_019	A	0	0	0
fc_a_020	B	0	0	0
fin_a_001	AB	0	0	0
fin_a_002	ABD	0	0	0
fin_a_003	A	0	0	0
fin_a_004	ABD	0	0	0
fin_a_005	ABD	0	0	0
fin_a_006	A	0	0	0
fin_a_007	ABD	0	0	0
fin_a_008	C	0	0	0
fin_a_009	ABC	0	0	0
fin_a_010	B	0	0	0
fin_a_011	ACD	0	0	0
fin_a_012	ABD	0	0	0
fin_a_013	A	0	0	0
fin_a_014	AB	0	0	0
fin_a_015	A	0	0	0
fin_a_016	ABD	0	0	0
fin_a_017	AC	0	0	0
fin_a_018	A	0	0	0
fin_a_019	AB	0	0	0
fin_a_020	AB	0	0	0
reg_a_001	ACD	0	0	0
reg_a_002	ABC	0	0	0
reg_a_003	A	0	0	0
reg_a_004	ABC	0	0	0
reg_a_005	ABC	0	0	0
reg_a_006	A	0	0	0
reg_a_007	ACD	0	0	0
reg_a_008	A	0	0	0
reg_a_009	ABD	0	0	0
reg_a_010	B	0	0	0
reg_a_011	AC	0	0	0
reg_a_012	ABD	12461	2373	14834
reg_a_013	A	0	0	0
reg_a_014	ABD	10871	573	11444
reg_a_015	C	10795	642	11437
reg_a_016	ABD	11481	1030	12511
reg_a_017	AB	12762	1092	13854
reg_a_018	A	8173	336	8509
reg_a_019	BD	13145	726	13871
reg_a_020	ABD	11665	574	12239
res_a_001	A	0	0	0
res_a_002	ABCD	15724	4536	20260
res_a_003	A	11005	2618	13623
res_a_004	ABC	21641	6815	28456
res_a_005	A	0	0	0
res_a_006	A	0	0	0
res_a_007	A	0	0	0
res_a_008	A	0	0	0
res_a_009	A	0	0	0
res_a_010	A	0	0	0
res_a_011	A	0	0	0
res_a_012	A	0	0	0
res_a_013	A	0	0	0
res_a_014	A	0	0	0
res_a_015	A	0	0	0
res_a_016	A	0	0	0
res_a_017	A	0	0	0
res_a_018	A	0	0	0
res_a_019	A	0	0	0
res_a_020	A	0	0	0
