qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,256520,84789,341309
fc_b_001,,,,,0,0,0
fc_b_002,,,,,0,0,0
fc_b_003,,,,,0,0,0
fc_b_004,,,,,0,0,0
fc_b_005,,,,,0,0,0
fc_b_006,,,,,0,0,0
fc_b_007,,,,,0,0,0
fc_b_008,,,,,0,0,0
fc_b_009,,,,,0,0,0
fc_b_010,,,,,0,0,0
fc_b_011,,,,,0,0,0
fc_b_012,,,,,0,0,0
fc_b_013,B,,,,10399,2402,12801
fc_b_014,,,,,0,0,0
fc_b_015,,,,,0,0,0
fc_b_016,D,,,,24436,8693,33129
fc_b_017,,,,,0,0,0
fc_b_018,,,,,0,0,0
fc_b_019,,,,,0,0,0
fc_b_020,,,,,0,0,0
fin_b_001,,,,,0,0,0
fin_b_002,,,,,0,0,0
fin_b_003,,,,,0,0,0
fin_b_004,,,,,0,0,0
fin_b_005,,,,,0,0,0
fin_b_006,,,,,0,0,0
fin_b_007,,,,,0,0,0
fin_b_008,,,,,0,0,0
fin_b_009,,,,,0,0,0
fin_b_010,,,,,0,0,0
fin_b_011,BC,,,,29314,7565,36879
fin_b_012,ABCD,,,,20670,4477,25147
fin_b_013,,,,,0,0,0
fin_b_014,,,,,0,0,0
fin_b_015,,,,,0,0,0
fin_b_016,,,,,0,0,0
fin_b_017,,,,,0,0,0
fin_b_018,2.58,7.65,,,18020,5962,23982
fin_b_019,宁德时代>美的集团>比亚迪,1.29,,,23700,6564,30264
fin_b_020,,,,,0,0,0
ins_b_001,,,,,0,0,0
ins_b_002,,,,,0,0,0
ins_b_003,,,,,0,0,0
ins_b_004,,,,,0,0,0
ins_b_005,BD,,,,22577,4225,26802
ins_b_006,BD,,,,21947,3801,25748
ins_b_007,,,,,0,0,0
ins_b_008,,,,,0,0,0
ins_b_009,,,,,0,0,0
ins_b_010,,,,,0,0,0
ins_b_011,,,,,0,0,0
ins_b_012,BC,,,,17694,3972,21666
ins_b_013,,,,,0,0,0
ins_b_014,,,,,0,0,0
ins_b_015,,,,,0,0,0
ins_b_016,,,,,0,0,0
ins_b_017,,,,,0,0,0
ins_b_018,,,,,0,0,0
ins_b_019,,,,,0,0,0
ins_b_020,,,,,0,0,0
reg_b_001,,,,,0,0,0
reg_b_003,20260330.00,,,,11021,12881,23902
reg_b_004,,,,,0,0,0
reg_b_005,,,,,0,0,0
reg_b_007,,,,,0,0,0
reg_b_008,,,,,0,0,0
reg_b_009,,,,,0,0,0
reg_b_013,,,,,0,0,0
reg_b_014,,,,,0,0,0
reg_b_015,,,,,0,0,0
reg_b_016,,,,,0,0,0
reg_b_017,,,,,0,0,0
reg_b_018,,,,,0,0,0
reg_b_020,,,,,0,0,0
reg_b_021,,,,,0,0,0
reg_b_023,,,,,0,0,0
reg_b_024,,,,,0,0,0
reg_b_025,,,,,0,0,0
reg_b_026,,,,,0,0,0
reg_b_027,,,,,0,0,0
res_b_001,,,,,0,0,0
res_b_002,,,,,0,0,0
res_b_003,,,,,0,0,0
res_b_004,,,,,0,0,0
res_b_005,,,,,0,0,0
res_b_006,,,,,0,0,0
res_b_007,,,,,0,0,0
res_b_008,C,,,,21502,7223,28725
res_b_009,,,,,0,0,0
res_b_010,,,,,0,0,0
res_b_011,,,,,0,0,0
res_b_012,67.10,,,,14436,6683,21119
res_b_013,,,,,0,0,0
res_b_014,,,,,0,0,0
res_b_015,,,,,0,0,0
res_b_016,,,,,0,0,0
res_b_017,,,,,0,0,0
res_b_018,ACD,,,,20804,10341,31145
res_b_019,,,,,0,0,0
res_b_020,,,,,0,0,0
