qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,169287,22053,191340,
fc_b_001,,,,,0,0,0,
fc_b_002,,,,,0,0,0,
fc_b_003,,,,,0,0,0,
fc_b_004,,,,,0,0,0,
fc_b_005,,,,,0,0,0,
fc_b_006,,,,,0,0,0,
fc_b_007,,,,,0,0,0,
fc_b_008,,,,,0,0,0,
fc_b_009,,,,,0,0,0,
fc_b_010,,,,,0,0,0,
fc_b_011,,,,,0,0,0,
fc_b_012,,,,,0,0,0,
fc_b_013,,,,,0,0,0,
fc_b_014,,,,,0,0,0,
fc_b_015,,,,,0,0,0,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,,,,,0,0,0,
fin_b_002,,,,,0,0,0,
fin_b_003,,,,,0,0,0,
fin_b_004,,,,,0,0,0,
fin_b_005,,,,,0,0,0,
fin_b_006,,,,,0,0,0,
fin_b_007,,,,,0,0,0,
fin_b_008,,,,,0,0,0,
fin_b_009,,,,,0,0,0,
fin_b_010,,,,,0,0,0,
fin_b_011,,,,,0,0,0,
fin_b_012,,,,,0,0,0,
fin_b_013,,,,,0,0,0,
fin_b_014,,,,,0,0,0,
fin_b_015,,,,,0,0,0,
fin_b_016,,,,,0,0,0,
fin_b_017,,,,,0,0,0,
fin_b_018,,,,,0,0,0,
fin_b_019,,,,,0,0,0,
fin_b_020,,,,,0,0,0,
ins_b_001,,,,,0,0,0,
ins_b_002,,,,,0,0,0,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,AB,,,,9688,586,10274,
res_b_002,AC,,,,10328,568,10896,
res_b_003,AB,,,,8013,569,8582,
res_b_004,BCD,,,,7596,598,8194,
res_b_005,22.19,,,,7031,2744,9775,
res_b_006,A,,,,9107,718,9825,
res_b_007,61.98,,,,6466,2261,8727,
res_b_008,C,,,,9001,1347,10348,
res_b_009,ABC,,,,8698,1199,9897,
res_b_010,AC,,,,8344,553,8897,
res_b_011,BC,,,,7662,559,8221,
res_b_012,1013479.20,,,,6486,2611,9097,
res_b_013,A,,,,10321,645,10966,
res_b_014,CD,,,,8471,1017,9488,
res_b_015,B,,,,7546,580,8126,
res_b_016,BD,,,,10754,606,11360,
res_b_017,AC,,,,8075,695,8770,
res_b_018,CD,,,,8165,1476,9641,
res_b_019,AB,,,,7772,592,8364,
res_b_020,BD,,,,9763,2129,11892,
