qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,3971855,714519,4686374,
fc_b_001,5.55%,5.36%,7.68%,7.35%,23010,6478,29488,定位：依据《广东省广晟控股集团有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）募集说明书》第69页（text01 P69）中的“报告期内主营业务毛利率分类明细”图表。提取：该图表详细列示了发行人各业务板块在不同报告期的毛利率数据。其中，矿业板块在2022年度、2023年度、2024年度及2025年1-6月的对应数值分别为5.55%、5.36%、7.68%和7.35%。推导：本题要求获取特定时间段内矿业板块的主营业务毛利率，属于直接数据检索类问题，无需进行额外的财务指标换算或逻辑推演。解题过程仅需严格对照题目指定的时间序列（2022年、2023年、2024年、2025年1-6月），从源文档表格中逐一提取对应列的原始披露数据，确保时间与数值的准确匹配。结论：经核实，2022-2024年及2025年1-6月发行人矿业板块的主营业务毛利率依次为5.55%、5.36%、7.68%、7.35%，与作答一致。
fc_b_002,ACD,,,,41152,1991,43143,定位：依据《苏州华亚智能科技股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）（注册稿）》第43、45、261页关于业绩奖励机制的披露内容。提取：P43规定奖励总额不超过超额业绩100%且不超过交易作价20%；P45明确奖励对象为届时仍在职的管理团队及核心人员；P43及P261指出奖励发放方式为50%现金、50%通过资管计划购股，并给出基础计算公式为“（累积实现净利润-累积承诺净利润）*50%”。推导：选项A符合P43关于上限比例的监管要求，正确；选项B将奖励对象扩大为“所有员工”，与P45限定的“管理团队及核心人员”不符，错误；选项C关于现金与购股各占50%的描述与原文一致，正确；选项D引用的计算公式虽未体现封顶条款，但确为文档中列示的基础计算依据，表述属实，正确。结论：综上，正确选项为A、C、D。
fc_b_003,ABCD,,,,57169,10601,67770,定位：依据《厦门金圆投资集团有限公司2026年面向专业投资者公开发行公司债券（第二期）募集说明书》【text03】P173-P176页关于投资者保护及违约机制的条款。 提取：P173规定交叉保护违规需在10个交易日内恢复，否则持有人可要求采取负面事项救济措施；P174规定仅针对“无法按时还本付息”情形给予90个自然日宽限期；P176约定争议解决方式为向发行人住所地有管辖权法院诉讼。 推导：A项所述10个交易日恢复期与P173原文一致，入选；B项将仅限本息支付的90日宽限期扩大至所有违约情形，表述范围过大且不准确，不选；C项诉讼管辖地约定与P176原文一致，入选；D项关于未恢复承诺时持有人有权要求救济措施的描述与P173原文一致，入选。 结论：正确选项为A、C、D。
fc_b_004,ABC,,,,45957,2211,48168,定位：依据《深圳市融资租赁（集团）有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）募集说明书》第104-105页关于集中度指标及监管合规性的披露内容。 提取：P104显示最近一期末单一集团业务余额占净资产90.79%，近三年均超50%限值；过渡期规定为不超过3年。P105显示发行人2024年及2025年行业监管评级均为A级；截至2024年末，特定行业租赁资产占比84.17%，超过80%，适用广东省细则中放宽集中度要求的条款。 推导：选项A所述单一集团占比超标事实与P104数据一致，入选；选项B所述两年评级为A级与P105记录相符，入选；选项C所述行业资产占比超80%从而适用放宽条款，符合P105描述，入选；选项D称过渡期为5年，与P104规定的“不超过3年”冲突，排除。 结论：正确选项为A、B、C，与作答一致。
fc_b_005,1468.47%,740.58%,,,21258,6706,27964,"定位：依据《苏州华亚智能科技股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）（注册稿）》（text08）第17、153、154、207及220页。提取：2023年6月30日基准日，冠鸿智能股东全部权益账面值5,138.77万元，评估值80,600.00万元，增值额75,461.23万元，增值率1,468.47%；2023年12月31日加期评估基准日，评估值84,700.00万元，账面净资产10,076.35万元，增值额74,623.65万元，增值率740.58%。推导：直接引用报告书中披露的两次评估关键财务数据。第一次评估中，以账面值5,138.77万元为基数，计算得出增值率1,468.47%；第二次评估中，以账面净资产10,076.35万元为基数，对应评估值84,700.00万元，计算得出增值率740.58%。数据与报告书P17、P153-154、P207及P220注3记载一致，无需额外调整。结论：标的资产冠鸿智能在两次评估中的评估增值率分别约为1468.47%和740.58%。"
fc_b_006,B,,,,45995,3065,49060,定位：依据【text04 P11/P60】、【text11 P57】、【text05 P88/P384】中关于安克创新、普联软件及本川智能相关主体对可转债认购的承诺函内容。 提取：安克创新独董承诺本人及亲属不参与；普联软件独董承诺“本人及本人配偶、父母、子女”均不参与且不委托他人；本川智能独董承诺本人及关系密切家庭成员不认购；安克创新控股股东承诺若减持间隔不满六个月则不参与认购。 推导：逐项比对选项与原文。A项安克创新独董承诺内容与原文核心义务一致，描述正确；C项本川智能独董承诺对象涵盖关系密切家庭成员，与原文一致，描述正确；D项安克创新控股股东关于减持间隔六个月的限制条件与原文完全吻合，描述正确。B项声称普联软件独董“未明确其配偶、父母、子女是否参与”，但原文明确列示“本人及本人配偶、父母、子女”均不参与，选项表述与事实直接矛盾，故为错误项。 结论：选项B说法错误，符合题意，故选B。
fc_b_007,B,,,,67071,12228,79299,"定位：依据安克创新(text04)、本川智能(text05)及普联软件(text11)招股说明书相关章节。 提取：text05 P45/P17显示本川智能新客户预计年销售额约40,500万元，与募投产品领域相关性高；text11 P226/P43显示普联软件募投为软件研发类项目，风险因素仅含实施、折旧及研发风险，无产能消化风险；text04 P95显示安克创新采用外协生产模式，P47提及仓储项目旨在提效，未涉及自建产能。 推导：A项错误，安克创新无自建产能，文档未设“新增产能消化风险”标题，且其风险侧重产业化落地而非产能消化；B项正确，本川智能披露的新客户意向销售额数据及领域相关性描述与原文完全一致；C项正确，普联软件属软件行业，募投项目不涉及物理产能，原文确未披露此类风险，表述符合事实；D项错误，安克创新仓储项目不产生生产产能，不存在产能消化风险。 结论：选项B、C表述与原文一致，故选BC。"
fc_b_008,ABC,,,,53361,4200,57561,定位：依据安克创新【text04 P311】、普联软件【text11 P29/P28】及本川智能【text05 P38/P37】的募集说明书条款。 提取：三份文件均规定公司发生减资时应召集债券持有人会议，但存在例外情形。安克与普联的例外为“员工持股、股权激励、维护价值回购”；本川智能额外包含“用于转换本次可转债”。普联与本川明确规定上述例外减资情形下，持有人不得要求提前清偿或担保。 推导：选项A、B分别对应安克和普联关于减资需召开会议的原文表述，且例外情形描述准确，故入选。选项C对应本川智能原文，其例外情形确实包含“转股导致减资”，表述一致，故入选。选项D声称三份文件关于减资时提前清偿权的规定“完全一致”，但本川智能的例外范围多出“转股”一项，且各文件具体措辞与条款结构存在差异，并非完全一致，故排除。 结论：符合规定的选项为A、B、C。
fc_b_009,ABD,,,,58788,2203,60991,"定位：依据【text11 P43/P223】、【text05 P8/P46/P343/P356】及【text04 P47】中关于募投项目新增折旧摊销对业绩影响的披露内容。 提取：普联软件列示T+2至T+10年新增折旧摊销、营收、净利润及占比数据；本川智能测算完全达产前新增折旧摊销占营收最高3.49%、占净利润最高77.09%，并披露分项目明细；安克创新明确年新增折旧摊销最高金额为11,376.57万元。 推导：A项描述普联软件详细列出各项财务指标及比重，与原文表格一致，入选；B项本川智能的比例数值与原文逐字吻合，入选；C项称安克创新“未量化披露”，但原文明确给出11,376.57万元的具体金额，事实不符，不选；D项指出普联软件和本川智能均进行定量测算，前者提供年度表格，后者提供具体比例及明细表，符合事实，入选。 结论：选项A、B、D表述与文件内容一致，正确答案为ABD。"
