qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1776181	473796	2249977
ins_a_001	B	22478	5759	28237
ins_a_002	A	19234	5037	24271
ins_a_003	A	24401	9726	34127
ins_a_004	A	24123	5174	29297
ins_a_005	AB	27859	7758	35617
ins_a_006	A	15735	5675	21410
ins_a_007	BC	16722	3950	20672
ins_a_008	ABC	23658	4553	28211
ins_a_009	C	19180	4966	24146
ins_a_010	AB	23621	4841	28462
ins_a_011	BC	24328	5136	29464
ins_a_012	A	22731	4422	27153
ins_a_013	A	17898	4718	22616
ins_a_014	A	27774	10202	37976
ins_a_015	AB	23717	5218	28935
ins_a_016	D	38875	12416	51291
ins_a_017	ABCD	23402	4532	27934
ins_a_018	BCD	24091	5076	29167
ins_a_019	ACD	25761	8005	33766
ins_a_020	D	20885	5823	26708
fc_a_001	ABD	17984	4489	22473
fc_a_002	ABD	18534	4029	22563
fc_a_003	A	7346	1103	8449
fc_a_004	ABC	18805	4861	23666
fc_a_005	AC	18786	3603	22389
fc_a_006	A	9640	1734	11374
fc_a_007	BD	19055	3919	22974
fc_a_008	B	23453	4798	28251
fc_a_009	ABD	24441	4265	28706
fc_a_010	A	9104	1591	10695
fc_a_011	AB	17811	3686	21497
fc_a_012	ACD	19837	4912	24749
fc_a_013	B	7950	2647	10597
fc_a_014	B	17889	4748	22637
fc_a_015	B	34523	6905	41428
fc_a_016	C	30430	10090	40520
fc_a_017	ABD	18506	4630	23136
fc_a_018	B	8928	3671	12599
fc_a_019	A	19571	4673	24244
fc_a_020	BC	18688	6615	25303
fin_a_001	AB	20786	4987	25773
fin_a_002	AB	23584	8660	32244
fin_a_003	A	9674	1993	11667
fin_a_004	ABD	18916	5026	23942
fin_a_005	ABD	19562	4787	24349
fin_a_006	A	9868	2894	12762
fin_a_007	ABD	19353	4524	23877
fin_a_008	D	20191	5420	25611
fin_a_009	ABC	20284	4545	24829
fin_a_010	A	15579	2255	17834
fin_a_011	ACD	19149	5079	24228
fin_a_012	ABD	19638	4765	24403
fin_a_013	A	9407	1721	11128
fin_a_014	AB	24473	7401	31874
fin_a_015	A	19580	7152	26732
fin_a_016	ABD	18684	4987	23671
fin_a_017	AC	24165	6712	30877
fin_a_018	A	9720	1943	11663
fin_a_019	AB	24137	6727	30864
fin_a_020	AB	19901	4802	24703
reg_a_001	ACD	13136	4694	17830
reg_a_002	ABC	10650	4507	15157
reg_a_003	A	5476	2158	7634
reg_a_004	ABC	18950	7960	26910
reg_a_005	ABC	14514	4536	19050
reg_a_006	A	5749	2515	8264
reg_a_007	ACD	11146	4794	15940
reg_a_008	A	14911	4881	19792
reg_a_009	ABD	12580	4641	17221
reg_a_010	B	6269	2559	8828
reg_a_011	ACD	14832	4804	19636
reg_a_012	ABD	12994	4434	17428
reg_a_013	A	5129	1733	6862
reg_a_014	ABD	11053	4075	15128
reg_a_015	C	13722	3895	17617
reg_a_016	ABD	14544	4501	19045
reg_a_017	AB	12877	4654	17531
reg_a_018	A	6708	1951	8659
reg_a_019	BD	15807	4570	20377
reg_a_020	ABD	14355	4086	18441
res_a_001	ABC	23030	6624	29654
res_a_002	ABCD	16808	4465	21273
res_a_003	A	10352	2288	12640
res_a_004	ABC	22607	6657	29264
res_a_005	ABC	21135	6346	27481
res_a_006	A	9679	2286	11965
res_a_007	ABC	22110	6214	28324
res_a_008	A	16713	3670	20383
res_a_009	ABC	18290	3756	22046
res_a_010	A	6364	1098	7462
res_a_011	BC	24941	7044	31985
res_a_012	ABC	18125	3798	21923
res_a_013	B	7184	1922	9106
res_a_014	ABC	22429	5888	28317
res_a_015	A	18871	3868	22739
res_a_016	ACD	18356	4426	22782
res_a_017	ABD	17990	4664	22654
res_a_018	A	10086	1793	11879
res_a_019	AB	20467	4030	24497
res_a_020	BD	20837	4675	25512
