qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1314030	256090	1570120
syn_fc_001	A	19906	2810	22716
syn_fc_002	C	15453	3340	18793
syn_fc_003	C	19443	3990	23433
syn_fc_004	B	21735	4724	26459
syn_fc_005	AB	19331	3708	23039
syn_fc_006	ABD	15002	3251	18253
syn_fc_007	ABD	18107	4284	22391
syn_fc_008	ABD	18039	3588	21627
syn_fc_009	ABC	23579	3696	27275
syn_fc_010	ACD	20318	4316	24634
syn_fc_011	ABD	20303	4406	24709
syn_fc_012	ABC	21148	3736	24884
syn_fc_013	D	20833	4914	25747
syn_fc_014	A	7910	1874	9784
syn_fc_015	B	8441	1319	9760
syn_fin_001	B	15827	3924	19751
syn_fin_002	AB	21077	5339	26416
syn_fin_003	A	19112	4016	23128
syn_fin_004	ABC	18514	4537	23051
syn_fin_005	ACD	21029	4975	26004
syn_fin_006	AB	18876	4001	22877
syn_fin_007	A	10968	2903	13871
syn_fin_008	ABC	20361	4914	25275
syn_fin_009	AB	43407	6702	50109
syn_fin_010	A	29905	4901	34806
syn_fin_011	ABC	29219	4487	33706
syn_fin_012	B	9347	1587	10934
syn_fin_013	ABD	28573	5209	33782
syn_fin_014	C	34583	7004	41587
syn_fin_015	ABC	30042	4876	34918
syn_ins_001	B	15821	3583	19404
syn_ins_002	B	15900	3376	19276
syn_ins_003	C	14095	3165	17260
syn_ins_004	C	15652	3241	18893
syn_ins_005	C	13702	3698	17400
syn_ins_006	ACD	22811	4085	26896
syn_ins_007	A	15245	3893	19138
syn_ins_008	AC	15554	4112	19666
syn_ins_009	ABD	20243	4383	24626
syn_ins_010	AB	16145	4142	20287
syn_ins_011	ABD	15544	4132	19676
syn_ins_012	AC	19188	7546	26734
syn_ins_013	ABCD	15536	4353	19889
syn_ins_014	B	8284	2165	10449
syn_ins_015	A	8931	1868	10799
syn_reg_001	C	9592	805	10397
syn_reg_002	ABD	16721	786	17507
syn_reg_003	AC	14200	673	14873
syn_reg_004	C	9096	556	9652
syn_reg_005	ACD	12258	694	12952
syn_reg_006	AB	15386	614	16000
syn_reg_007	C	14144	556	14700
syn_reg_008	A	11094	4054	15148
syn_reg_009	A	5056	280	5336
syn_reg_010	B	6121	216	6337
syn_reg_011	ACD	14002	874	14876
syn_reg_012	B	13135	714	13849
syn_reg_013	ABD	13866	709	14575
syn_reg_014	ABC	14072	736	14808
syn_reg_015	ABC	9077	1028	10105
syn_res_001	C	19826	3821	23647
syn_res_002	B	17846	4838	22684
syn_res_003	D	18480	4525	23005
syn_res_004	A	20233	4189	24422
syn_res_005	AC	20802	4275	25077
syn_res_006	AB	20200	4493	24693
syn_res_007	BD	18852	4821	23673
syn_res_008	AC	16128	4548	20676
syn_res_009	AB	21756	4585	26341
syn_res_010	AD	20040	4244	24284
syn_res_011	BC	19050	4876	23926
syn_res_012	ABD	19143	4406	23549
syn_res_013	CD	20150	4215	24365
syn_res_014	A	10031	1771	11802
syn_res_015	B	10988	1344	12332
