qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,398758,125517,524275,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2528,1867,4395,针对广东省广晟控股集团有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）的信用基本面分析，矿业板块作为核心业务单元，其盈利能力的稳定性与趋势性是评估主体偿债能力的关键维度。依据《广东省广晟控股集团有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）募集说明书》这一权威信源，深入查阅text01第69页，该页面明确列示了“报告期内主营业务毛利率分类明细”图表，为量化评估矿业板块经营质效提供了直接且确凿的数据支撑。因为题目要求精准获取2022年至2024年及2025年1-6月四个特定时间维度的矿业板块主营业务毛利率，故需在该图表中严格对应各行列进行逐一锁定与提取。经细致比对与口径核对，确认2022年度矿业板块主营业务毛利率精确数值为5.55%；2023年度该项指标微调至5.36%；2024年度该项指标显著上升至7.68%；而在2025年1-6月期间，该指标录得7.35%。上述数据均源自原始披露文件，确保了信息来源的准确性与完整性。  鉴于本题所求的毛利率数据在募集说明书的分类明细表中已直接列示，属于既定事实数据，因此无需引入额外的复杂数学模型或公式进行二次计算，推导逻辑侧重于时间序列的严格对应与数值的准确转录。据此，按照题目设定的时间先后顺序，即2022年、2023年、2024年、2025年1-6月，将提取的四个关键数值依次排列。进一步验证，该序列完整覆盖了所有要求的时间段，且数值与源文件完全吻合，体现了论证的严密性。最终确定的数据序列为：5.55%；5.36%；7.68%；7.35%。这一结论不仅清晰呈现了矿业板块毛利率从2023年的低位徘徊到2024年强劲反弹并维持在较高水平的变动轨迹，也为后续分析该板块对集团整体利润贡献的可持续性奠定了坚实的数据基础，确保了从原始数据到最终结论的逻辑链条闭合，无任何信息损耗或偏差。
fc_b_002,ACD,,,,3793,772,4565,第一步，依据《苏州华亚智能科技股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）（注册稿）》第43页及261页关于业绩奖励机制的披露，针对选项A进行验证。由于监管规则明确限定奖励总额不得超过超额业绩部分的100%且不超过交易作价的20%，且文档规定超出部分不再奖励，因此选项A关于上限约束的描述准确无误，予以入选。第二步，审视选项B涉及的奖励对象范围。由于原文第45页及261页严格界定超额业绩奖励对象为“届时仍在标的公司任职的管理团队及核心人员”，而非泛指“所有员工”，因此选项B扩大了受益主体范围，与事实不符，予以排除。第三步，核查选项C所述的奖励发放形式。由于文档第43页及261页明确规定超额业绩奖励的50%以现金直接发放，剩余50%通过设立专项资管计划等方式用于二级市场购买上市公司股票，因此选项C对支付结构的描述与原文完全一致，予以入选。第四步，分析选项D中的计算公式。由于原文第43页及261页列示的基础计算逻辑为“超额业绩奖励金额=（业绩承诺期内累积实现净利润数-业绩承诺期内累积承诺净利润数）*50%”，尽管最终金额受前述上限约束，但该基础公式本身在文档中客观存在且表述正确，因此选项D符合文档记载，予以入选。综上，正确选项为A、C、D。经复核，上述推导与所引数据一致。
fc_b_003,ABCD,,,,4961,1137,6098,本题核心在于精准核验厦门金圆投资集团债券募集说明书中关于投资者保护机制、违约宽限期及争议解决路径的具体条款约定，需逐项比对文本细节以确认陈述的准确性。针对选项A，因为《文档》P173页“交叉保护承诺”第（2）条明确规定，当发行人出现违反交叉保护承诺的情形时，必须及时采取措施并在10个交易日内恢复至符合承诺要求的状态，该时限与选项描述完全吻合，故入选。针对选项B，因为《文档》P174页“违约事项及纠纷解决机制”之违约情形认定部分指出，若发行人无法按时还本付息，债券持有人同意给予其自原约定各给付日起90个自然日的宽限期，这一期限设定旨在平衡双方利益，与选项所述一致，故入选。针对选项C，因为《文档》P176页“争议解决方式”章节明确约定，若双方协商不成，应将争议提交至位于发行人住所所在地有管辖权的法院通过诉讼方式解决，该管辖法院的选择符合常规法律约定，故入选。针对选项D，因为《文档》P173页“交叉保护承诺”第（4）条规定，若发行人违反交叉保护条款且未能在前述约定期限内恢复承诺，债券持有人有权要求发行人按照负面事项救济措施的约定采取相应行动，这构成了对投资者权益的有效保障机制，故入选。综合上述对募集说明书关键条款的逐一查证，所有选项均准确反映了发行人与投资者之间的权利义务约定，逻辑链条完整且证据确凿，最终确定正确选项组合为ABCD。
fc_b_004,ABC,,,,3806,862,4668,针对深圳市融资租赁（集团）有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）的合规性分析，首先需审视其资产集中度指标。依据《募集说明书》第104页披露数据，发行人2022年末至2025年9月末对单一集团的全部融资租赁业务余额占净资产的比例分别为119.28%、107.81%、100.42%及90.79%。因为上述数值均显著超过50%的监管红线，且原文已明确确认该超标事实，故选项A关于集中度指标不符合常规监管要求的描述准确无误，应当入选。  进一步验证发行人的监管评级状态，查阅《募集说明书》第105页可知，基于深圳市地方金融管理局于2024年11月27日及2025年8月28日发布的公告以及发行人提供的书面说明，发行人连续两年获得行业监管评级A级。据此，这完全符合监管对于优质企业的认定标准，因此选项B所述评级情况属实，逻辑成立并入选。  在集中度豁免条款的适用性方面，继续依据第105页内容统计发现，截至2024年末，发行人主营业务中航运金融、物流运输、能化冶金、绿色新能源行业的租赁资产占比高达84.17%。因为该数值超过80%，直接触发了《广东省融资租赁公司监督管理实施细则》中关于适当放宽集中度关联度要求的适用条款，所以选项C关于适用放宽条款的解释逻辑严密且成立，同样入选。  最后，回归第104页关于整改过渡期的规定进行复核，原文引用《融资租赁公司监督管理暂行办法》第五十二条明确指出过渡期原则上不超过3年。因为选项D声称的5年过渡期与法规原文及募集说明书披露内容严重不符，故排除选项D。综上，基于对监管红线、评级资质、行业占比结构及法定过渡期的逐项穿透分析，正确选项确认为ABC。
fc_b_005,1468.47%,740.58%,,,3953,2216,6169,"依据《苏州华亚智能科技股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）（注册稿）》披露的财务数据，针对标的资产冠鸿智能在两个不同基准日的评估增值情况进行严谨推导。首先锁定2023年6月30日的首次评估数据，根据文档第17页及第153页记载，该基准日冠鸿智能股东全部权益账面值为5,138.77万元，经专业机构评定后的评估值为80,600.00万元。基于资产评估基本逻辑，增值额等于评估值减去账面值，即80,600.00万元减去5,138.77万元得出增值额75,461.23万元，进而计算增值率为75,461.23万元除以5,138.77万元，结果精确为1,468.47%。随后分析2023年12月31日的加期评估情况，参照文档第17页及第220页注3信息，此时评估值调整为84,700.00万元，文中直接披露相较于账面净资产的增值额为74,623.65万元，对应增值率为740.58%。为确保数据逻辑的严密性，执行反向验算程序：以第二次评估的增值率740.58%为基准，反推其隐含的账面净资产应为74,623.65万元除以7.4058，计算结果约等于10,076.35万元；将该推算账面值与披露的增值额74,623.65万元相加，总和为84,700.00万元，这与文档明确列示的加期评估值完全吻合，证实了披露数据的内在一致性且无计算偏差。两次评估虽因基准日不同导致账面基础与最终估值产生变化，但各自对应的增值率指标均符合会计准则与评估规范的定义要求。通过上述对原始数据的提取、正向比率推导以及逆向总额校验，可以确证冠鸿智能在2023年6月30日及2023年12月31日两个时间节点的评估增值率分别为1,468.47%和740.58%。"
fc_b_006,B,,,,3491,970,4461,第一步，明确题目核心任务为甄别关于上市公司主体可转债认购承诺描述错误的选项，需逐一比对原文证据。第二步，分析选项A，依据【text04 P11】及【text04 P60】，安克创新独立董事承诺“本人及本人配偶、父母、子女承诺不参与...亦不会委托其他主体参与”，选项虽未详列亲属但核心语义与原文一致且无排他性谬误，因此判定A项描述正确并排除。第三步，分析选项B，依据【text11 P57】，普联软件独立董事明确承诺“本人及本人配偶、父母、子女将不参与...亦不会委托其他主体参与”，原文已清晰界定亲属范围，而选项声称“未明确其配偶、父母、子女是否参与”，该表述与原文事实直接冲突，由于存在明显的事实性错误，因此判定B项描述错误并入选。第四步，分析选项C，依据【text05 P88】及【text05 P384】，本川智能独立董事承诺“本人及本人关系密切的家庭成员承诺不认购...”，选项复述内容与原文完全吻合，因此判定C项描述正确并排除。第五步，分析选项D，依据【text04 P10】及【text04 P60】，安克创新控股股东承诺若启动发行日与最后一次减持日期间隔不满六个月（含），本人及亲属将不参与认购，选项准确反映了这一限制条件及时间阈值，因此判定D项描述正确并排除。综上，仅B项违背原文事实，为本题唯一错误选项。经复核，上述推导与所引数据一致。
fc_b_007,BC,,,,4496,712,5208,"第一步，分析选项A与D涉及的安克创新案例。由于text04第95页明确指出该公司采用“自主研发设计+外协生产”模式，且声明“不涉及产能、产量、产能利用率”，因此其募投项目本质为研发与仓储升级，不存在传统制造业的“新增产能消化风险”。鉴于此，选项D声称涉及该风险与原文事实直接矛盾，故排除；同时，因业务模式决定其无物理产能扩张，选项A关于提及该特定风险且未量化数据的描述缺乏原文支撑，亦予排除。第二步，验证选项B涉及的本川智能案例。由于text05第45页及第4页原文精确记载：“2024年下半年以来，公司开拓的新客户合作后预计年销售额合计约40,500万元，上述40,500万元客户采购意向涉及领域与本次募投项目产品主要面向领域的相关性较高”，该表述与选项B完全吻合，数据精准对应，逻辑自洽，因此确认选项B入选。第三步，审视选项C涉及的普联软件案例。由于text11第5页及第43-44页显示，其募投项目均为软件研发类（如国产ERP扩展、数智化风控等），风险披露集中于“实施效果未达预期”、“研发风险”及“新增折旧摊销影响盈利”，并未包含“新增产能消化风险”。鉴于软件行业特性及文档实际披露内容，选项C关于未提及该风险的表述符合原文事实，因此确认选项C入选。综上，通过逐一比对文档原文与选项表述，排除与事实相悖的A、D项，保留与原文高度一致的B、C项。经复核，上述推导与所引数据一致。"
fc_b_008,ABC,,,,3738,1037,4775,针对债券持有人会议召集情形中关于减资例外条款的合规性审查，需对各发行人募集说明书的具体约定进行穿透式比对。首先审视安克创新的相关披露，依据【text04 P311】“债券持有人会议的召集”第2条第（3）款之规定，当公司发生减资时原则上需召开会议，但明确排除了因员工持股计划、股权激励或公司为维护公司价值及股东权益所必需回购股份导致的减资情形。鉴于选项A的表述与该条款原文完全吻合，据此认定A项符合规定。进一步核查普联软件的发行文件，根据【text11 P29】“债券持有人会议的召开情形”第（3）款，其对于减资例外情形的界定同样限定于员工持股计划、股权激励及为维护公司价值及股东权益所必须回购股份导致的减资，该表述在用词严谨度与实质含义上与选项B保持高度一致，故B项入选。  在此基础上，深入分析江苏本川智能的条款细节。根据【text05 P38】“债券持有人会议的召开情形”第③款，该公司在常规例外情形之外，额外将“用于转换公司发行的本次可转债”导致的减资纳入豁免范围。由于选项C准确涵盖了这一特定例外情形，严格契合该文档规定，因此C项成立。然而，若横向对比三份文件的监管口径，差异显著：安克创新【text04 P310】与普联软件【text11 P28】的例外情形仅包含前三类，而江苏本川智能【text05 P37】则增加了可转债转换这一特定场景。因为三份文件对于触发“不得要求提前清偿或提供担保”的具体减资原因列举范围存在实质性差异，即前提条件集合并不相同，所以声称规定“完全一致”的选项D缺乏事实支撑，故D排除。综上，基于对各募集说明书条款的精确拆解与交叉验证，符合规定的选项确认为ABC。
fc_b_009,ABD,,,,4188,712,4900,"第一步，针对选项A进行验证。由于【普联软件募集说明书】第43页及第223页的表格中，明确列示了T+2年至T+10年期间的“新增折旧摊销合计”、“募投项目预计营业收入合计”及“募投项目预计净利润合计”，并据此计算出“折旧摊销占营业收入比重”和“折旧摊销占净利润比重”，因此选项A关于普联软件详细测算并披露相关数据的描述与原文完全一致，该项入选。第二步，分析选项B。由于【本川智能募集说明书】第8页及第46页原文记载：“经测算，本次募投项目在完全达产（T+5 年）前，新增折旧摊销占营业收入最高比例为3.49%，占净利润最高比例为77.09%”，该表述与选项B中的数值及逻辑逐字对应，因此选项B准确反映了文件内容，该项入选。第三步，审视选项C。由于【安克创新募集说明书】第47页明确指出：“据测算，本次募投项目年新增折旧摊销费用预计最高金额为11,376.57 万元”，这证明公司已量化披露具体测算数据，而选项C声称“未量化披露”，该描述与事实相悖，因此排除选项C。第四步，综合评估选项D。由于前述分析已确认普联软件（见选项A证据）和本川智能（见选项B证据）均在文件中对募投项目新增折旧摊销进行了定量测算并披露了具体数值或比例，因此选项D关于这两家公司均进行定量披露的概括性描述符合文档事实，该项入选。综上所述，正确选项为A、B、D。经复核，上述推导与所引数据一致。"
