qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,405498,89605,495103,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2250,1419,3669,【取数】 按题面期间顺序从text01 P69“图表：报告期内主营业务毛利率分类明细”取矿业板块毛利率：2022年度为5.55%，2023年度为5.36%，2024年度为7.68%，2025年1-6月为7.35%。  【计算】 本题为词法取数，无算术运算，按原文数值与单位（%）直接列示。  【核验】 证据充分，口径与单位一致，期间顺序与原文表格列序完全对应，无需舍入或调整。  答案: 5.55%；5.36%；7.68%；7.35%
fc_b_002,ACD,,,,3883,147,4030,【第2题 答案块】 选择标准: 依据华亚智能报告书，核对业绩奖励的计算公式、上限、对象及发放方式。 分析: A项：P43规定奖励总额不超过超额部分100%且不超过交易作价20%，正确，入选。 B项：P45规定对象为届时仍在任的管理团队及核心人员，非所有员工，错误，不选。 C项：P43规定50%现金发放，50%通过资管计划买股票，正确，入选。 D项：P43及P261给出计算公式为累积实现减累积承诺乘以50%，正确，入选。 答案: ACD
fc_b_003,ABCD,,,,5584,270,5854,<QWEN_DECISION_V1> 答案: ABCD A|IN|P173载明交叉保护情形下10个交易日内恢复承诺。 B|IN|P174载明违约时给予自给付日起90自然日宽限期。 C|IN|P176载明争议解决为向发行人住所地法院诉讼。 D|IN|P173载明违反交叉保护未恢复可要求负面救济。 STATUS|COMPLETE </QWEN_DECISION_V1>
fc_b_004,ABC,,,,4900,156,5056,【第1题 答案块】 选择标准: 判断关于深圳租赁集中度指标、监管评级及过渡期规定的描述是否符合募集说明书原文。 分析: A项：原文P104显示2025年9月末为90.79%，2024-2022年均超50%，符合“均超过”描述，入选。B项：原文P5/P105明确发行人两年行业监管评级均为A级，入选。C项：原文P5/P105指出发行人适用《广东省...实施细则》关于放宽集中度关联度要求的条款，入选。D项：原文P5/P21规定过渡期原则上不超过3年，选项称5年，错误，不选。 答案: ABC
fc_b_005,1468.47%,740.58%,,,3629,1968,5597,"【取数】 - 2023年6月30日基准日：冠鸿智能股东全部权益评估增值率1,468.47%（text08 P30/P17/P153） - 2023年12月31日基准日：冠鸿智能股东全部权益评估增值率740.58%（text08 P30/P17）  【计算】 按题目要求顺序直接提取原文披露的增值率：1468.47%；740.58%。  【核验】 单位与口径：均为股东全部权益评估增值率，单位%，与题面一致。 算式与舍入：原文直接披露，无需重算；数值与证据完全一致。 答案: 1468.47%；740.58%"
fc_b_006,B,,,,4900,152,5052,【第3题 答案块】 选择标准: 找出关于上市公司主体可转债认购承诺描述错误的选项。 分析: A项：原文text04 P11安克创新独立董事承诺不参与认购，描述正确。B项：原文text11 P57普联软件独立董事承诺“本人及本人配偶、父母、子女将不参与”，选项称“未明确”，描述错误，当选。C项：原文text05 P88本川智能独立董事承诺本人及关系密切家庭成员不认购，描述正确。D项：原文text04 P10安克创新控股股东等承诺若间隔不满六个月则不参与，描述正确。 答案: B
fc_b_007,BC,,,,5551,310,5861,<QWEN_DECISION_V1> 答案: BC A|OUT|POS_MENTION hit=0，未提及产能消化风险 B|IN|DIRECT_TEXT锚点匹配销售额及领域相关性 C|IN|NEG_MENTION hit=0且为软件研发类，成立 D|OUT|CAUSAL hit=0且有反向原句，因果不成立 STATUS|COMPLETE </QWEN_DECISION_V1>
fc_b_008,ABC,,,,4914,221,5135,【第2题 答案块】 选择标准: 核对三份募集说明书中关于债券持有人会议召开情形及减资例外条款的具体文字。 分析: A项：安克创新P33/P311规定减资例外包括员工持股、股权激励、维护价值回购，与选项一致，入选。 B项：普联软件P29规定减资例外包括员工持股、股权激励、维护价值回购，与选项一致，入选。 C项：本川智能P38规定减资例外包括员工持股、股权激励、转股、维护价值回购，比前两者多“转股”，选项表述完整准确，入选。 D项：安克和本川均规定特定减资情形下持有人不得要求提前清偿或担保（P37/P5），但普联软件P29仅列出召开情形，未在該段落明确此限制权利条款，且三者例外情形范围不同（本川含转股），故“完全一致”错误，不选。 答案: ABC
fc_b_009,ABD,,,,4914,184,5098,"【第3题 答案块】 选择标准: 核对各公司对募投项目新增折旧摊销的定量测算数据及披露情况。 分析: A项：普联软件P43/P223表格详细列示T+2至T+10年的折旧、营收、净利及占比，与选项一致，入选。 B项：本川智能P46明确披露完全达产前折旧占营收最高3.49%、占净利最高77.09%，与选项一致，入选。 C项：安克创新P47明确量化披露“年新增折旧摊销费用预计最高金额为11,376.57万元”，并非“仅定性”，选项错误，不选。 D项：普联软件（P43）和本川智能（P46）均进行了定量测算并披露，与事实相符，入选。 答案: ABD"
fc_b_010,BCD,,,,4100,127,4227,【第1题 答案块】 选择标准: 依据协议判断补偿方式、顺序及计算公式要素。 分析: A项错误，协议规定优先以股份补偿，不足部分现金补足（P321）；B项正确，符合“股份不足以支付...以现金进行补偿”的规定（P321）；C项正确，公式涉及累积承诺收入与实际收入差额（P320）；D项正确，公式包含交易作价及持有宏济堂股份比例39.61%（P320）。 答案: BCD
fc_b_011,ABC,,,,4038,313,4351,【第1题 答案块】 选择标准: 核对2023-2025年末资产负债率（扣除代理款）及流动比率数值。 分析: A项：P4、P113、P132显示2025年末资产负债率(扣)64.00%，流动比率1.83，数据一致，入选。 分析: B项：P113、P132显示2024年末资产负债率(扣)62.47%，流动比率1.95，数据一致，入选。 分析: C项：P113、P132显示2023年末资产负债率(扣)66.27%，流动比率1.91，数据一致，入选。 分析: D项：原文2023年数据为66.27%和1.91，选项数值错误，不选。 答案: ABC
fc_b_012,BCD,,,,3883,154,4037,【第3题 答案块】 选择标准: 依据金达威募集说明书，核对转股价格向下修正的触发条件、底价及表决程序。 分析: A项：P32规定触发条件为低于当期转股价格的85%，选项称80%，错误，不选。 B项：P32规定修正后价格不低于股东大会召开日前20日和前1日均价，正确，入选。 C项：P32及P48规定修正后价格不得低于最近一期经审计每股净资产和面值，正确，入选。 D项：P32及P48规定股东大会表决时，持有本次可转债的股东应当回避，正确，入选。 答案: BCD
fc_b_013,A,,,,3993,75,4068,【第2题 答案块】 选择标准: 判断铁路建设债券担保人及担保方式是否与原文一致。 分析: P68及P66均明确指出本次债券由铁路建设基金提供不可撤销连带责任保证担保，表述完全正确。 答案: A
fc_b_014,14.41,,,,2149,1896,4045,"【取数】 - 2023年：116,570.42万元（11.66亿元） - 2024年：140,326.08万元（14.03亿元） - 2025年：175,365.27万元（17.54亿元） 单位统一为亿元，原值：11.66、14.03、17.54。  【计算】 平均值 = (11.66 + 14.03 + 17.54) / 3 = 43.23 / 3 = 14.41（亿元，保留两位小数）。  【核验】 证据中P112财务指标表已直接给出各期“归属于母公司所有者的净利润（亿元）”为11.66、14.03、17.54，与万元数据换算一致。工具以万元取数后未做单位换算直接平均，导致数值量级错误（144,087.26万元≠14.41）。按题目要求单位“亿元”及保留两位小数，结果应为14.41。  答案: 14.41"
fc_b_015,CD,,,,4099,133,4232,【第2题 答案块】 选择标准: 找出与原文锁定期安排不符的错误表述。 分析: A项正确，力诺投资、力诺集团锁定期为36个月（P16/P43）；B项正确，济南财投等三方锁定期为36个月（P16/P44）；C项错误，若资产权益持有不足12个月，锁定期应为36个月而非12个月（P16/P44）；D项错误，其他交易对方通常为12个月，并非所有均为36个月（P16/P44）。 答案: CD
fc_b_016,C,,,,4071,88,4159,【第3题 答案块】 选择标准: 查找中国铁路建设债券募集资金中用于债务结构调整的具体金额。 分析: P15“募集资金用途基本情况”中明确记载：总额3000亿元，其中800亿投项目，250亿购装备，1950亿用于债务结构调整。 答案: C
fc_b_017,BC,,,,4099,148,4247,【第3题 答案块】 选择标准: 依据报告书判断交易性质、标的评估及定价情况。 分析: A项错误，原文明确说明“本次交易不构成关联交易”（P9/P19）；B项正确，实际控制人仍为陕西省国资委，不构成重组上市（P19）；C项正确，标的为长安银行5.92%股权，采用市场法评估（P18/P63）；D项错误，交易价格以流拍价确定，流拍价即基于评估值，文中未提及低于评估值，而是以评估结果为依据（P18/P63/P71）。 答案: BC
fc_b_018,ABD,,,,3883,149,4032,【第1题 答案块】 选择标准: 依据鼎捷数智募集说明书，核对转股价格确定、修正程序、赎回授权及回售条款。 分析: A项：P29规定初始转股价不低于前20日和前1日交易均价，正确，入选。 B项：P30规定修正方案须经出席会议股东所持表决权三分之二以上通过，正确，入选。 C项：P31规定具体赎回价格提请股东大会授权董事会确定，选项称无需授权，错误，不选。 D项：P32规定最后两个计息年度触发，每年首次满足后可行使一次，正确，入选。 答案: ABD
fc_b_019,ABCD,,,,4093,205,4298,<QWEN_DECISION_V1> 答案: ABCD A|IN|P13信用风险集中贷款债券及表外承诺担保 B|IN|P14流动性风险来自提款错配等 C|IN|P57董事会为最高决策机构下设风委会 D|IN|P61操作风险三道防线含业务风控审计 STATUS|COMPLETE </QWEN_DECISION_V1>
fc_b_020,2.30,,,,2592,1170,3762,"【取数】 - 股东全部权益评估值: 1,298,036.10 万元（题干） - 总股本（注册资本）: 564,141.7298 万股（题干） - 证据印证: text12 P71 明确给出“每股净资产评估值为2.30 元”。  【计算】 - 算式: 1,298,036.10 万元 ÷ 564,141.7298 万股 = 2.300904... 元/股。 - 舍入: 题目要求保留两位小数，四舍五入后为 2.30 元/股。 - 工具结果 2.30 与证据原文及计算结果一致。  【核验】 - 单位与口径: 万元/万股直接相除即得元/股，无需额外换算，口径一致。 - 算式与舍入: 除法精确，按题意保留两位小数正确。 - 结论: 工具计算无误，与证据原文完全一致。  答案: 2.30"
fin_b_001,ACD,,,,5744,781,6525,【第2题 答案块】 选择标准: 核对比亚迪2024/2025年分地区收入绝对值、占比及变动幅度。 分析: A: P29表显示2025年境外占比38.65%，2024年28.55%，差值=10.10个百分点，正确。入选。 B: 相对增幅=(38.65-28.55)/28.55≈35.38%，非10.10%，错误。不选。 C: 境外增加额=310740988-221884773=88856215千元；中国减少额=555217682-493223970=61993712千元，前者大于后者，正确。入选。 D: 境外增加额88856215-中国减少额61993712=26862503；总营收增加额=803964958-777102455=26862503，基本一致，正确。入选。 答案: ACD
fin_b_002,BCD,,,,4974,1152,6126,【第2题 答案块】 选择标准: 核对比亚迪2024与2025年营业收入、归母净利润及经营活动现金流量净额的数值与比率变动。 分析: A. 2025归母净利率=326.19/8039.65≈4.06%，2024为402.54/7771.02≈5.18%。相对降幅=(4.06-5.18)/5.18≈-21.6%，选项称1.12%错误，不选。 B. 2025归母净利润326.19亿，2024年402.54亿，同比变动(326.19-402.54)/402.54≈-18.97%，判断正确，入选。 C. P40显示经营活动产生的现金流量净额2025年591.35亿，2024年1334.54亿，同比变动-55.69%，判断正确，入选。 D. 2025经营现金流/营收=591.35/8039.65≈7.36%；2024为1334.54/7771.02≈17.17%。下降约9.82个百分点，判断正确，入选。 答案: BCD
