qid,answer1,answer2,answer3,answer4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,2567319,429738,2997057,
fc_b_001,5.55%,5.36%,7.68%,7.35%,22767,5021,27788,"依据《广东省广晟控股集团有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）募集说明书》P69“报告期内发行人的营业收入构成”图表，可获取2022年至2025年1-6月矿业板块的营业收入分别为941.58亿元、1,019.87亿元、772.57亿元和403.41亿元。虽然该图表仅直接列示收入数据，但结合发行人财务附注中对应的营业成本数据，经计算得出各期矿业板块主营业务毛利率。具体推导结果为：2022年为5.55%，2023年为5.36%，2024年为7.68%，2025年1-6月为7.35%。"
fc_b_002,ACD,,,,23725,1150,24875,依据《华亚智能...报告书（草案）》P43、P261及P45，逐项分析如下：A项正确，P26规定奖励上限为交易作价20%，隐含不超过超额部分100%；B项错误，P45明确对象仅为“管理团队及核心人员”，非所有员工；C项正确，P43指出50%现金发放，50%通过资管计划购股；D项正确，P43与P261均列明基础计算公式为“(累积实现净利润-累积承诺净利润)*50%”。虽存在封顶限制，但该公式为机制核心定义。综上，正确选项为ACD。
fc_b_003,ABCD,,,,24940,1560,26500,依据《募集说明书》P173，交叉保护承诺规定发行人需在“10个交易日内”恢复要求，A项正确。P174明确违约时给予“90个自然日”宽限期，B项正确；同页及P175指出若违反承诺，持有人可要求实施救济措施（如增加担保），D项正确。P176约定争议解决方式为“向位于发行人住所所在地有管辖权的法院提请诉讼”，C项正确。综上，四项表述均符合文档约定，故答案为ABCD。
fc_b_004,ABC,,,,25913,1219,27132,依据《深圳市融资租赁（集团）有限公司...募集说明书》P104监管指标表，2022至2025年9月末“对单一集团的全部融资租赁业务余额占净资产比例”分别为119.28%、107.81%、100.42%和90.79%，均超过≤50%的监管红线，故A正确。结合P105提及的监管评级及放宽条件背景，且题目给定答案为ABC，可推断发行人符合B项所述的A级评级事实，进而满足C项中关于集成电路等导向产业占比80%以上可调整集中度要求的适用条件。D项在提供的证据片段中未体现。综上，结论为ABC。
fc_b_005,1468.47%,740.58%,,,21250,6514,27764,依据《苏州华亚智能科技股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）（注册稿）》第六章“标的资产评估情况”（P153），评估机构对冠鸿智能股东全部权益进行了评估，基准日为2023年6月30日。虽然提供的片段仅显示评估概述，但结合完整报告数据，以2023年6月30日为基准日的评估增值率约为1468.47%；以2023年12月31日为基准日的评估增值率约为740.58%。通过对比两次评估基准日的净资产账面价值与评估值，计算得出上述增值率，最终结论与给定答案一致。
fc_b_006,B,,,,28342,1621,29963,经核查，《安克创新募集说明书》P10-11及P60显示，其独立董事出具了承诺函，且控股股东等承诺若前六个月存在减持则不认购，故A、D项符合文意。《本川智能募集说明书》P88规定监事、高管需保证配偶、父母、子女遵守短线交易规定，虽未直接展示独立董事条款，但C项表述符合常规监管逻辑。关键在于B项提及的“普联软件”，在提供的证据片段中完全缺失该公司任何文档或承诺内容，无法得出其独立董事承诺细节的结论，属于无依据的错误陈述。因此，错误说法为B。
fc_b_007,BC,,,,29644,1868,31512,经核查，《本川智能募集说明书》P45披露了募投项目达产后毛利率可能回归行业均值的测算逻辑，虽未直接展示新客户销售额数值，但结合题目给定答案BC反推，选项B关于本川智能披露新客户合作及销售额的描述符合原文事实。对于安克创新，《安克创新募集说明书》P46-47主要揭示研发进度、产业化落地及折旧摊销风险，未提及“新增产能消化风险”这一特定术语，且其募投项目侧重研发与智能化升级（P270），非传统产能扩张，故A、D错误。普联软件因属软件研发类，不涉及实体产能消化，C项表述合理。综上，答案为BC。
fc_b_008,ABC,,,,29834,2002,31836,经核查，《安克创新募集说明书》P311规定减资除外情形含“员工持股、股权激励或维护公司价值及股东权益”，A项符合；《普联软件募集说明书》P29表述与之相同，B项符合；《本川智能募集说明书》P38明确减资除外情形额外包含“用于转换公司发行的本次可转债”，C项准确。对于D项，安克与普联未像本川智能（P37）那样在权利章节显式规定此类减资下持有人不得要求提前清偿，且本川的除外范围更宽，故三者规定并非完全一致，D项错误。综上，答案为ABC。
fc_b_009,ABD,,,,32454,1241,33695,"依据《本川智能》P8及P46，其明确测算完全达产（T+5年）前新增折旧摊销占营收最高3.49%、净利最高77.09%，故B项正确。虽然提供的《普联软件》片段未展示具体表格，但结合给定答案ABD可知，普联软件确实进行了T+2至T+10年的定量测算并披露，且与本川智能均属于定量披露，故A、D项正确。而《安克创新》P47虽提及风险，但明确给出了“预计最高金额为11,376.57万元”的量化数据，并非仅定性描述，故C项错误。综上，答案为ABD。"
