qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,112966,34106,147072,
fc_b_001,,,,,1,1,2,
fc_b_002,,,,,1,1,2,
fc_b_003,,,,,1,1,2,
fc_b_004,,,,,1,1,2,
fc_b_005,,,,,1,1,2,
fc_b_006,,,,,1,1,2,
fc_b_007,,,,,1,1,2,
fc_b_008,,,,,1,1,2,
fc_b_009,,,,,1,1,2,
fc_b_010,,,,,1,1,2,
fc_b_011,,,,,1,1,2,
fc_b_012,,,,,1,1,2,
fc_b_013,,,,,1,1,2,
fc_b_014,,,,,1,1,2,
fc_b_015,,,,,1,1,2,
fc_b_016,,,,,1,1,2,
fc_b_017,,,,,1,1,2,
fc_b_018,,,,,1,1,2,
fc_b_019,,,,,1,1,2,
fc_b_020,,,,,1,1,2,
fin_b_001,,,,,1,1,2,
fin_b_002,,,,,1,1,2,
fin_b_003,,,,,1,1,2,
fin_b_004,,,,,1,1,2,
fin_b_005,,,,,1,1,2,
fin_b_006,,,,,1,1,2,
fin_b_007,,,,,1,1,2,
fin_b_008,,,,,1,1,2,
fin_b_009,,,,,1,1,2,
fin_b_010,,,,,1,1,2,
fin_b_011,,,,,1,1,2,
fin_b_012,,,,,1,1,2,
fin_b_013,,,,,1,1,2,
fin_b_014,,,,,1,0,1,
fin_b_015,,,,,1,0,1,
fin_b_016,,,,,1,0,1,
fin_b_017,,,,,1,0,1,
fin_b_018,,,,,1,0,1,
fin_b_019,,,,,1,0,1,
fin_b_020,,,,,0,0,0,
ins_b_001,,,,,0,0,0,
ins_b_002,,,,,0,0,0,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,AC,,,,2149,349,2498,
reg_b_003,2026年3月30日,,,,2556,1509,4065,
reg_b_004,2026年6月30日,,,,2634,1411,4045,
reg_b_005,BCD,,,,2055,311,2366,
reg_b_007,30.00,,,,2565,1404,3969,
reg_b_008,BC,,,,2055,311,2366,
reg_b_009,BC,,,,2149,349,2498,
reg_b_013,B,,,,2055,311,2366,
reg_b_014,99.25,,,,2362,1432,3794,
reg_b_015,AC,,,,2149,349,2498,
reg_b_016,2.00,,,,2681,1433,4114,
reg_b_017,AC,,,,2216,356,2572,
reg_b_018,2026年4月1日,,,,2698,1355,4053,
reg_b_020,B,,,,2122,318,2440,
reg_b_021,B,,,,2122,318,2440,
reg_b_023,AB,,,,2216,356,2572,
reg_b_024,B,,,,2122,318,2440,
reg_b_025,AC,,,,2216,356,2572,
reg_b_026,B,,,,2122,318,2440,
reg_b_027,BD,,,,2122,318,2440,
res_b_001,AB,,,,3152,579,3731,
res_b_002,AC,,,,3175,421,3596,
res_b_003,AB,,,,3175,421,3596,
res_b_004,BCD,,,,3175,421,3596,
res_b_005,22.19,,,,2467,3736,6203,
res_b_006,AB,,,,3152,579,3731,
res_b_007,61.98,,,,2246,1519,3765,
res_b_008,AC,,,,3152,579,3731,
res_b_009,ABC,,,,10048,5843,15891,
res_b_010,AC,,,,3175,421,3596,
res_b_011,B,,,,3152,579,3731,
res_b_012,979.20,,,,2184,1793,3977,
res_b_013,ABC,,,,3152,579,3731,
res_b_014,CD,,,,3152,579,3731,
res_b_015,BD,,,,3175,421,3596,
res_b_016,BD,,,,3152,579,3731,
res_b_017,AC,,,,3175,421,3596,
res_b_018,ACD,,,,3175,421,3596,
res_b_019,AB,,,,3152,579,3731,
res_b_020,BD,,,,3175,421,3596,
