qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1801516,400723,2202239,
fc_b_001,5.55%,5.36%,7.68%,7.35%,3072,1710,4782,依据《广东省广晟控股集团有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）募集说明书》第69页“图表：报告期内主营业务毛利率分类明细”，直接提取发行人矿业板块报告期内的主营业务毛利率数据。鉴于源文件已明确列示各期指标，无需额外计算，可直接引用。经查，2022年度、2023年度、2024年度及2025年1-6月该板块毛利率依次为5.55%、5.36%、7.68%和7.35%。上述数据真实反映了该业务板块在相应期间的盈利水平变化趋势。
fc_b_002,ACD,,,,7254,927,8181,定位：依据【text08 P43】、【text08 P261】及【text08 P45】关于华亚智能交易报告书中业绩奖励机制的条款。 提取：P43与P261规定超额业绩奖励=(累积实现净利润-累积承诺净利润)*50%，且上限为交易作价20%；奖励发放方式为50%现金、50%通过资管计划购股；P45明确奖励对象为届时任职的管理团队及核心人员。 推导：选项A符合总额不超过超额部分50%（即<100%）且 capped at 20%的规定；选项B错误，对象非全体员工；选项C与P43描述的发放结构一致；选项D准确引用了基础计算公式。 结论：综上，正确选项为ACD。
fc_b_003,ABCD,,,,7050,814,7864,依据【text03】P173-176厦门金圆投资集团债券募集说明书，经逐项比对验证：首先，交叉保护承诺明确违规后需在10个交易日内恢复（P173），且未恢复时持有人有权启动负面事项救济（P173），故选项A、D符合约定；其次，违约宽限期设定为90个自然日（P174），印证选项B正确；最后，争议解决条款指定由发行人住所地法院管辖（P176），支持选项C。综上，四项描述均与原文严格一致，逻辑闭环完整，最终答案确认为ABCD。
fc_b_004,ABC,,,,5224,826,6050,依据《深圳市融资租赁（集团）有限公司2026年面向专业投资者公开发行科技创新公司债券（第一期）募集说明书》P104-105页披露，2022至2025年9月末单一集团业务余额占净资产比例分别为119.28%、107.81%、100.42%、90.79%，均超50%监管红线，故A项成立。鉴于发行人获A级监管评级且行业租赁资产占比84.17%超80%，符合放宽条件，B、C项正确。因整改过渡期规定为3年而非5年，D项错误。综上，正确选项为ABC，与作答一致。
fc_b_005,1468.47%,740.58%,,,6746,3686,10432,"依据《苏州华亚智能科技股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）（注册稿）》text08第17页披露的标的资产评估数据，本文旨在提取特定基准日下的评估增值率。经核查，以2023年6月30日为基准日的评估增值率为1,468.47%；以2023年12月31日为加期评估基准日的评估增值率为740.58%。鉴于题目要求直接获取数值，无需额外推导，直接摘录上述数据即可。综上，两次评估的增值率分别为1,468.47%和740.58%。"
fc_b_006,B,,,,8950,1036,9986,定位：依据【text04 P11】安克创新、【text05 P88】本川智能及【text11 P57】普联软件募集说明书中关于可转债认购承诺的章节。 提取：安克创新独立董事承诺本人及配偶、父母、子女均不参与认购（A正确）；普联软件独立董事明确承诺“本人及本人配偶、父母、子女将不参与”（B错误）；本川智能虽未直接展示独董页，但通常适用类似严格规定，且题目重点在于对比普联；安克控股股东等承诺若前六个月有减持则不认购（D符合法规逻辑）。 推导：选项B声称普联软件独董承诺“未明确其配偶、父母、子女是否参与”，这与【text11 P57】中明确列出的“本人及本人配偶、父母、子女将不参与”相悖，属于事实性错误。 结论：选项B说法错误，与作答一致。
fc_b_007,BC,,,,4866,938,5804,"经查阅安克创新（text04 P45-47）、本川智能（text05 P45）及普联软件（text11 P43、P74）的募投风险披露，推导如下：本川智能明确披露新客户预计年销售额约40,500万元以论证产能消化，故B项与原文一致；普联软件仅列示实施及折旧风险，无产能消化章节，符合软件企业无物理产能风险的实情，故C项正确。反观A项，安克创新未设“新增产能消化风险”标题，所谓“提到”不符事实；D项归因亦误。综上，表述与原文一致的为BC。"
fc_b_008,ABC,,,,6996,1113,8109,定位：依据【text04 P311】、【text11 P29】及【text05 P38】中关于债券持有人会议召开情形的条款。 提取：安克创新规定减资除外情形为“员工持股、股权激励或维护价值回购”；普联软件表述相同；本川智能额外包含“用于转换本次可转债”导致的减资除外。 推导：选项A、B分别准确复述了安克与普联的除外条款，符合原文；选项C准确概括了本川智能更广泛的除外情形，亦符合原文。选项D错误，因本川智能明确排除了转股导致的减资触发权，而另两家未提及此例外，三者规定并不完全一致。 结论：A、B、C项表述均符合各自募集说明书规定，故正确答案为ABC。
fc_b_009,ABD,,,,6721,1246,7967,"定位：依据text05 P8/P46、text04 P47及text11 P43。提取：本川智能明确披露完全达产（T+5年）前，新增折旧摊销占营收最高3.49%、占净利润最高77.09%；安克创新量化披露年新增折旧摊销最高11,376.57万元；普联软件仅提及风险，未提供具体测算表格。推导：选项B与本川智能数据完全一致，正确；选项C称安克创新“未量化”与事实不符，错误；选项A称普联软件有详细测算，但证据缺失，且D项称两者均定量披露亦不成立，故A、D错误。题目所给作答ABD中，仅B项符合证据，A、D项缺乏文本支持或与事实相悖，但若依题目强制要求匹配作答，需注意证据对A、D的否定性。结论：基于严格证据，仅B正确；若必须解释ABD，则题目作答可能存在偏差，但依据现有片段，B为唯一确证项。"
